,d2l,lon,lat
0,-0.11501895303995063,10.3029167597,47.8096503338
1,-0.11522855982610494,10.3029687462,47.8096041874
2,-596874.2978467658,0.3030267653,47.8095527491
3,-0.11519939687935943,10.3030889479,47.8094977046
4,-0.11511789817035797,10.303151095,47.8094427726
5,-0.1153561343926736,10.3032192035,47.8093826668
6,-0.11569232365791109,10.303294234,47.8093165656
7,-0.115923659886591,10.3033757445,47.8092448939
8,-0.11568061335777562,10.3034572676,47.8091733601
9,-0.1161810712569217,10.3035399827,47.8091009119
10,-596878.8742075437,0.3036267584,47.8090250641
11,-0.11671564421756171,10.3037195503,47.8089441241
12,-0.1171790466378082,10.3038177635,47.8088586377
13,-596880.8996668522,0.303919142,47.8087705871
14,-0.1183826564602598,10.3040277047,47.8086765039
15,-0.11868526554172812,10.3041391688,47.8085801202
16,-0.1190062954490372,10.3042529969,47.8084819056
17,-0.11910083443938756,10.3043672288,47.8083835468
18,-0.11899280061949236,10.3044834923,47.8082836345
19,-0.11880733656168554,10.3046000701,47.8081836366
20,-0.11862075983034981,10.3047151688,47.8080850762
21,-0.1182758599398828,10.3048313526,47.8079857465
22,-596887.1717121847,0.3049465677,47.8078873891
23,-0.1179204622683423,10.3050619113,47.8077890606
24,-0.11764070521486396,10.3051774016,47.8076907388
25,-0.11735797396242312,10.3052938713,47.8075917109
26,-0.11703047004377835,10.3054104596,47.8074927081
27,-596890.2964425146,0.3055266965,47.8073941291
28,-0.1162055191830387,10.3056436899,47.8072950372
29,-0.11568910404103656,10.3057590819,47.8071974338
30,-0.1149878588783504,10.3058765219,47.8070982432
31,-0.11426359713985132,10.3059941316,47.8069990657
32,-596893.1850280855,0.3061101859,47.8069013241
33,-0.1153292896516416,10.3063447794,47.8067040791
34,-0.12280249055517733,10.3068148567,47.8063101182
35,-0.11878940693367357,10.3072862957,47.8059155139
36,-596900.4610634001,.3077517368,47.8055259610
37,-0.11999101909136889,10.3082206588,47.8051339923
38,-596904.4847421023,0.3086899023,47.8047416511
39,-0.1166118039381432,10.3091620583,47.8043467063
40,-0.11701683223206602,10.3097542109,47.8038514242
41,-596911.1116891882,0.3102257606,47.8034570951
42,-0.11697341245349382,10.3106990408,47.8030614275
43,-0.11679175370177734,10.3112865482,47.8025705154
44,-0.11648580102495569,10.311759096,47.8021760201
45,-0.12081713663466277,10.312349807,47.8016833224
46,-0.11563600481770028,10.3128223217,47.8012888144
47,-0.11679234835666846,10.3132931432,47.8008956327
48,-0.11744496892419264,10.3137663334,47.8005005282
49,-0.11743176556724168,10.3143559616,47.8000082049
50,-0.1171192383475292,10.3148279422,47.7996140481
51,-0.11657922019626976,10.315298975,47.7992206601
52,-0.1280135572850411,10.3157672205,47.7988296095
53,-0.1211684686854894,10.3162404851,47.7984351898
54,-0.10218449330962014,10.3168287882,47.7979427889
55,-0.12433397304519997,10.3173027989,47.7975484523
56,-0.14054456880399158,10.3177762158,47.7971547565
57,-0.1376426729310145,10.3182394502,47.7967635653
58,-0.12305868695619965,10.3186999271,47.7963626604
59,-0.0974763266924098,10.3191455105,47.7959607157
60,-0.1180807258903311,10.3196993802,47.7954455809
61,-0.09828678282581015,10.3201248611,47.7950305324
62,-0.10509137687600877,10.3205376905,47.7946118172
63,-0.11061315682772564,10.3209407209,47.7941870132
64,-0.10208005215054147,10.3215215631,47.7935396152
65,-0.08759431869898092,10.3218923614,47.7931008314
66,-0.09372392062979593,10.322338602,47.7925465361
67,-0.09359110118650837,10.322684302,47.7920960148
68,-0.09202245722057685,10.3230161128,47.7916441223
69,-0.08972699650493512,10.3233370737,47.7911862007
70,-0.08668975269332871,10.3236443017,47.7907256675
71,-0.08579889281369572,10.3239385104,47.7902610214
72,-0.08441639823479369,10.3242203728,47.7897907586
73,-0.07475536422613228,10.324487248,47.7893192175
74,-0.07302409272352284,10.3247414753,47.7888431866
75,-0.07385768707671984,10.3249817577,47.7883659902
76,-0.07177137794391761,10.3252080199,47.7878872679
